Product;Financial_event;Financial_event_step;Financial_event_amount;Financial_event_type;Debit_account_label;Credit_account_label;Reversed;Description;Help
Money-market loan - Amortized Cost asset;Asset recognition;1;1000;Initial capital;Loan;Loan Payable;No;"According to IFRS 9, Loans remain classified as financial assets but ""Loans and receivables"" category do no longer exist as such. Indeed in IFRS 9, Amortized Cost measurement of financial assets, hence loans, remains possible given the objective is to hold assets to collect contractual cash flows, which is the case for money marfket loans. Otherwise, Loans are measured at Fair Value Through Profit or Loss (FVTPL).";Trade date operation
Money-market loan - Amortized Cost asset;Cash settlement;2;1000;Initial capital;Loan Payable;Cash Nostro;No;;Start date operation
Money-market loan - Amortized Cost asset;Value measurement;3;10;Interest accruals;Interest receivable;Interest Income;Yes;;Accrual of the interests
Money-market loan - Amortized Cost asset;Realized income;4;10;Interest;Cash Nostro;Interest Income;No;;Realized interests
Money-market loan - Amortized Cost asset;Asset derecognition;5;1000;Redeemed capital;Cash Nostro;Loan;No;;Maturity date operation, return capital
;;;;;;;;;
Money-market deposit - Amortized Cost liability;Liability recognition;1;1000;Initial capital;Deposit Receivable;Deposit;No;"Deposits are loans seen on the borrower side, i.e. over-the-counter contracts where one party (borrower) agrees to 
borrow capital to another party (lender) for a determined period of time against a fix or floating interest payment.";Trade date operation
Money-market deposit - Amortized Cost liability;Cash settlement;2;1000;Initial capital;Cash Nostro;Deposit Receivable;No;;Start date operation
Money-market deposit - Amortized Cost liability;Value measurement;3;10;Interest accruals;Interest Expense;Interest Payable;Yes;;Accrual of the interests
Money-market deposit - Amortized Cost liability;Realized loss;4;10;Interest;Interest Expense;Cash Nostro;No;;Realized interests
Money-market deposit - Amortized Cost liability;Liability derecognition;5;1000;Redeemed capital;Deposit;Cash Nostro;No;;Maturity date operation, return capital
;;;;;;;;;
FX Spot and FX Forward - Trading - Profit;OBS commitment (leg 1) - Payable;1;1000;Notional payable;Contingent Contra;Contingent Payable;No;FX Spot and FX Forward are over-the-counter contracts between two parties in order to exchange a certain amount of currencies at a specified time, at a rate agreed at the time of the transaction. The difference between FX spot and FX forward contracts is the settlement delay which is usually 0 to 2 business days for spot contracts, and more than two business days for forward contracts.;Commit notional (OBS)
FX Spot and FX Forward - Trading - Profit;OBS commitment (leg 2) - Receivable;1;1000;Notional receivable;Contingent Receivable;Contingent Contra;No;;Counterparty commits notional (OBS)
FX Spot and FX Forward - Trading - Profit;Value measurement;2;10;Revaluation (MTM) - Profit;Unrealized Asset;MTM Gain;Yes;;Revaluation at profit
FX Spot and FX Forward - Trading - Profit;OBS uncommitment (leg 1) - Payable;3;1000;Notional payable;Contingent Payable;Contingent Contra;No;;Uncommit notional (OBS)
FX Spot and FX Forward - Trading - Profit;OBS uncommitment (leg 2) - Receivable;3;1000;Notional receivable;Contingent Contra;Contingent Receivable;No;;Counterparty uncommits notional (OBS)
FX Spot and FX Forward - Trading - Profit;Realized income or expense;3;10;Cash settlement;Cash Nostro;Realized Gain;No;;FX settlement at profit
;;;;;;;;;
FX Spot and FX Forward - Trading - Loss;OBS commitment (leg 1) - Payable;1;1000;Notional payable;Contingent Contra;Contingent Payable;No;FX Spot and FX Forward are over-the-counter contracts between two parties in order to exchange a certain amount of currencies at a specified time, at a rate agreed at the time of the transaction. The difference between FX spot and FX forward contracts is the settlement delay which is usually 0 to 2 business days for spot contracts, and more than two business days for forward contracts.;Commit notional (OBS)
FX Spot and FX Forward - Trading - Loss;OBS commitment (leg 2) - Receivable;1;1000;Notional receivable;Contingent Receivable;Contingent Contra;No;;Counterparty commits notional (OBS)
FX Spot and FX Forward - Trading - Loss;Value measurement;2;10;Revaluation (MTM) - Loss;MTM Loss;Unrealized liability;Yes;;Revaluation at Loss
FX Spot and FX Forward - Trading - Loss;OBS uncommitment (leg 1) - Payable;3;1000;Notional payable;Contingent Payable;Contingent Contra;No;;Uncommit notional (OBS)
FX Spot and FX Forward - Trading - Loss;OBS uncommitment (leg 2) - Receivable;3;1000;Notional receivable;Contingent Contra;Contingent Receivable;No;;Counterparty uncommits notional (OBS)
FX Spot and FX Forward - Trading - Loss;Realized income or expense;3;10;Cash settlement;Realized Loss;Cash Nostro;No;;FX settlement at loss
;;;;;;;;;
